a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	p_condition_id	q_block_no
190	16.jpg	16.wav	Pop	2	5	5.jpg	5.wav	Pop	2	5	0	0	0	1	0	3	8
170	46.jpg	46.wav	Rock	4	5	12.jpg	12.wav	Pop	2	5	2	2	1	1	0	23	8
183	47.jpg	47.wav	Pop	3	5	41.jpg	41.wav	Pop	5	5	2	-2	0	0	1	10	8
181	11.jpg	11.wav	Pop	2	5	53.jpg	53.wav	Soul	4	5	2	-2	0	1	1	12	8
175	46.jpg	46.wav	Rock	4	5	19.jpg	19.wav	Rock	3	5	1	1	1	0	1	18	8
184	19.jpg	19.wav	Rock	3	5	54.jpg	54.wav	Rap	5	4	2	-2	0	0	0	9	8
180	11.jpg	11.wav	Pop	2	5	16.jpg	16.wav	Pop	2	5	0	0	1	0	0	13	8
193	8.jpg	8.wav	Pop	5	5	20.jpg	20.wav	Regae	3	4	2	2	1	1	1	24	9
200	31.jpg	31.wav	Folk	3	5	5.jpg	5.wav	Pop	2	5	1	1	1	0	0	17	9
197	45.jpg	45.wav	Pop	4	5	52.jpg	52.wav	Old_rock	3	4	1	1	1	1	1	20	9
215	9.jpg	9.wav	Rock	2	5	13.jpg	13.wav	Rock	2	4	0	0	0	0	1	2	9
195	50.jpg	50.wav	Rock	5	5	48.jpg	48.wav	Rock	3	5	2	2	1	0	1	22	9
201	31.jpg	31.wav	Folk	3	5	52.jpg	52.wav	Old_rock	3	4	0	0	1	1	1	16	9
198	45.jpg	45.wav	Pop	4	5	31.jpg	31.wav	Folk	3	5	1	1	1	1	0	19	9
206	27.jpg	27.wav	Pop	1	5	52.jpg	52.wav	Old_rock	3	4	2	-2	0	1	0	11	9
199	41.jpg	41.wav	Pop	5	5	14.jpg	14.wav	Jazz	4	5	1	1	1	0	1	18	9
212	19.jpg	19.wav	Rock	3	5	53.jpg	53.wav	Soul	4	5	1	-1	0	0	0	5	9
202	1.jpg	1.wav	Pop	3	4	47.jpg	47.wav	Pop	3	5	0	0	1	1	0	15	9
211	37.jpg	37.wav	Rock	1	5	49.jpg	49.wav	Pop	2	5	1	-1	0	0	1	6	9
208	47.jpg	47.wav	Pop	3	5	36.jpg	36.wav	Pop	5	5	2	-2	0	0	0	9	9
194	54.jpg	54.wav	Rap	5	4	47.jpg	47.wav	Pop	3	5	2	2	1	1	0	23	9
203	20.jpg	20.wav	Regae	3	4	1.jpg	1.wav	Pop	3	4	0	0	1	0	1	14	9
209	46.jpg	46.wav	Rock	4	5	41.jpg	41.wav	Pop	5	5	1	-1	0	1	1	8	9
196	41.jpg	41.wav	Pop	5	5	48.jpg	48.wav	Rock	3	5	2	2	1	0	0	21	9
207	27.jpg	27.wav	Pop	1	5	47.jpg	47.wav	Pop	3	5	2	-2	0	0	1	10	9
214	11.jpg	11.wav	Pop	2	5	38.jpg	38.wav	Jazz	2	5	0	0	0	1	0	3	9
205	5.jpg	5.wav	Pop	2	5	46.jpg	46.wav	Rock	4	5	2	-2	0	1	1	12	9
216	37.jpg	37.wav	Rock	1	5	27.jpg	27.wav	Pop	1	5	0	0	0	0	0	1	9
204	38.jpg	38.wav	Jazz	2	5	49.jpg	49.wav	Pop	2	5	0	0	1	0	0	13	9
210	47.jpg	47.wav	Pop	3	5	46.jpg	46.wav	Rock	4	5	1	-1	0	1	0	7	9
213	50.jpg	50.wav	Rock	5	5	32.jpg	32.wav	Pop	5	5	0	0	0	1	1	4	9
230	49.jpg	49.wav	Pop	2	5	46.jpg	46.wav	Rock	4	5	2	-2	0	1	0	11	10
233	38.jpg	38.wav	Jazz	2	5	31.jpg	31.wav	Folk	3	5	1	-1	0	1	1	8	10
232	5.jpg	5.wav	Pop	2	5	14.jpg	14.wav	Jazz	4	5	2	-2	0	0	0	9	10
223	46.jpg	46.wav	Rock	4	5	1.jpg	1.wav	Pop	3	4	1	1	1	0	1	18	10
235	31.jpg	31.wav	Folk	3	5	14.jpg	14.wav	Jazz	4	5	1	-1	0	0	1	6	10
236	37.jpg	37.wav	Rock	1	5	16.jpg	16.wav	Pop	2	5	1	-1	0	0	0	5	10
217	8.jpg	8.wav	Pop	5	5	19.jpg	19.wav	Rock	3	5	2	2	1	1	1	24	10
218	14.jpg	14.wav	Jazz	4	5	44.jpg	44.wav	70_rock	2	5	2	2	1	1	0	23	10
225	12.jpg	12.wav	Pop	2	5	5.jpg	5.wav	Pop	2	5	0	0	1	1	1	16	10
237	49.jpg	49.wav	Pop	2	5	44.jpg	44.wav	70_rock	2	5	0	0	0	1	1	4	10
227	20.jpg	20.wav	Regae	3	4	47.jpg	47.wav	Pop	3	5	0	0	1	0	1	14	10
221	24.jpg	24.wav	Jazz	5	4	53.jpg	53.wav	Soul	4	5	1	1	1	1	1	20	10
228	16.jpg	16.wav	Pop	2	5	49.jpg	49.wav	Pop	2	5	0	0	1	0	0	13	10
238	46.jpg	46.wav	Rock	4	5	53.jpg	53.wav	Soul	4	5	0	0	0	1	0	3	10
229	51.jpg	51.wav	Pop	1	4	19.jpg	19.wav	Rock	3	5	2	-2	0	1	1	12	10
231	13.jpg	13.wav	Rock	2	4	14.jpg	14.wav	Jazz	4	5	2	-2	0	0	1	10	10
226	8.jpg	8.wav	Pop	5	5	36.jpg	36.wav	Pop	5	5	0	0	1	1	0	15	10
234	46.jpg	46.wav	Rock	4	5	32.jpg	32.wav	Pop	5	5	1	-1	0	1	0	7	10
222	13.jpg	13.wav	Rock	2	4	37.jpg	37.wav	Rock	1	5	1	1	1	1	0	19	10
224	36.jpg	36.wav	Pop	5	5	45.jpg	45.wav	Pop	4	5	1	1	1	0	0	17	10
219	1.jpg	1.wav	Pop	3	4	51.jpg	51.wav	Pop	1	4	2	2	1	0	1	22	10
239	32.jpg	32.wav	Pop	5	5	24.jpg	24.wav	Jazz	5	4	0	0	0	0	1	2	10
220	48.jpg	48.wav	Rock	3	5	37.jpg	37.wav	Rock	1	5	2	2	1	0	0	21	10
240	8.jpg	8.wav	Pop	5	5	54.jpg	54.wav	Rap	5	4	0	0	0	0	0	1	10
246	9.jpg	9.wav	Rock	2	5	51.jpg	51.wav	Pop	1	4	1	1	1	1	0	19	11
253	19.jpg	19.wav	Rock	3	5	36.jpg	36.wav	Pop	5	5	2	-2	0	1	1	12	11
254	51.jpg	51.wav	Pop	1	4	52.jpg	52.wav	Old_rock	3	4	2	-2	0	1	0	11	11
247	9.jpg	9.wav	Rock	2	5	27.jpg	27.wav	Pop	1	5	1	1	1	0	1	18	11
264	44.jpg	44.wav	70_rock	2	5	9.jpg	9.wav	Rock	2	5	0	0	0	0	0	1	11
262	23.jpg	23.wav	Pop	5	5	54.jpg	54.wav	Rap	5	4	0	0	0	1	0	3	11
