a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	b_metrical	c_location	t_before_onset	resp	result	rt
342	31.jpg	31.wav	Folk	3	5	37.jpg	37.wav	Rock	1	5	2	2	1	1	0	NaN	NaN	NaN		NaN	NaN
343	31.jpg	31.wav	Folk	3	5	27.jpg	27.wav	Pop	1	5	2	2	1	0	1	NaN	NaN	NaN		NaN	NaN
344	32.jpg	32.wav	Pop	5	5	31.jpg	31.wav	Folk	3	5	2	2	1	0	0	NaN	NaN	NaN		NaN	NaN
345	20.jpg	20.wav	Regae	3	4	9.jpg	9.wav	Rock	2	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
346	46.jpg	46.wav	Rock	4	5	48.jpg	48.wav	Rock	3	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
347	30.jpg	30.wav	Cl_ce	3	4	38.jpg	38.wav	Jazz	2	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
348	41.jpg	41.wav	Pop	5	5	45.jpg	45.wav	Pop	4	5	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
349	27.jpg	27.wav	Pop	1	5	16.jpg	16.wav	Pop	2	5	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
350	20.jpg	20.wav	Regae	3	4	14.jpg	14.wav	Jazz	4	5	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
351	37.jpg	37.wav	Rock	1	5	38.jpg	38.wav	Jazz	2	5	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
352	49.jpg	49.wav	Pop	2	5	31.jpg	31.wav	Folk	3	5	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
353	50.jpg	50.wav	Rock	5	5	47.jpg	47.wav	Pop	3	5	2	2	1	0	1	NaN	NaN	NaN		NaN	NaN
354	20.jpg	20.wav	Regae	3	4	11.jpg	11.wav	Pop	2	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
355	47.jpg	47.wav	Pop	3	5	5.jpg	5.wav	Pop	2	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
356	48.jpg	48.wav	Rock	3	5	38.jpg	38.wav	Jazz	2	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
357	13.jpg	13.wav	Rock	2	4	51.jpg	51.wav	Pop	1	4	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
358	46.jpg	46.wav	Rock	4	5	36.jpg	36.wav	Pop	5	5	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
359	27.jpg	27.wav	Pop	1	5	12.jpg	12.wav	Pop	2	5	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
360	27.jpg	27.wav	Pop	1	5	13.jpg	13.wav	Rock	2	4	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
361	51.jpg	51.wav	Pop	1	4	38.jpg	38.wav	Jazz	2	5	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
362	52.jpg	52.wav	Old_rock	3	4	11.jpg	11.wav	Pop	2	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
363	23.jpg	23.wav	Pop	5	5	14.jpg	14.wav	Jazz	4	5	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
